Gene,Transcrit,Protein,Accession
Acc02948,Acc02948.1,d1766.a2.a1,PSS32648
Acc02957,Acc02957.1,d1996.a1.a1,PSS32657
Acc02963,Acc02963.1,c527.a2.a1,PSS32663
Acc02964,Acc02964.1,c445.a2.a1,PSS32664
Acc02966,Acc02966.1,d1589.a1.a1,PSS32666
Acc02970,Acc02970.1,c943.a2.a1,PSS32670
Acc02977,Acc02977.1,d3340.a1.a1,PSS32677
Acc02993,Acc02993.1,d2217.a2.a1,PSS32693
Acc02997,Acc02997.1,c382.a1.a1,PSS32697
Acc02998,Acc02998.1,d1784.a1.a1,PSS32698
Acc03004,Acc03004.1,c501.a2.a1,PSS32704
Acc03010,Acc03010.1,d2736.a1.a1,PSS32710
Acc03012,Acc03012.1,d1439.a2.a1,PSS32712
Acc03017,Acc03017.1,d1775.a2.a1,PSS32717
Acc03030,Acc03030.1,d1255.a1.a1,PSS32730
Acc03033,Acc03033.1,c457.a1.a1,PSS32733
Acc03047,Acc03047.1,d2201.a1.a1,PSS32747
Acc03048,Acc03048.1,d1436.a1.a1,PSS32748
Acc03054,Acc03054.1,d1015.a2.a1,PSS32754
Acc03055,Acc03055.1,c444.a2.a1,PSS32755
Acc03056,Acc03056.1,d2867.a1.a1,PSS32756
Acc03059,Acc03059.1,d3178.a1.a1,PSS32759
Acc03063,Acc03063.1,d1132.a2.a1,PSS32763
Acc03064,Acc03064.1,c545.a2.a1,PSS32764
Acc03065,Acc03065.1,d2524.a1.a1,PSS32765
Acc03070,Acc03070.1,c128.a9.a1,PSS32770
Acc03092,Acc03092.1,d1717.a1.a1,PSS32792
Acc03096,Acc03096.1,d1557.a1.a1,PSS32796
Acc03104,Acc03104.1,d2636.a1.a1,PSS32804
Acc03109,Acc03109.1,d2316.a1.a1,PSS32809
Acc03113,Acc03113.1,c688.a1.a1,PSS32813
Acc03115,Acc03115.1,d2651.a1.a1,PSS32815
Acc03116,Acc03116.1,c649.a3.a1,PSS32816
Acc03121,Acc03121.1,c959.a2.a1,PSS32821
Acc03123,Acc03123.1,c129.a4.a1,PSS32823
Acc03129,Acc03129.1,d2623.a1.a1,PSS32832
Acc03131,Acc03131.1,d2122.a1.a1,PSS32834
Acc03134,Acc03134.1,c212.a4.a1,PSS32837
Acc03150,Acc03150.1,c631.a2.a1,PSS32853
Acc03154,Acc03154.1,d2616.a1.a1,PSS32857
Acc03164,Acc03164.1,c874.a1.a1,PSS32867
Acc03176,Acc03176.1,b55.a5.a1,PSS32879
Acc03179,Acc03179.1,d1194.a2.a1,PSS32882
Acc03186,Acc03186.1,b28.a2.a1,PSS32889
Acc03220,Acc03220.1,d1497.a1.a1,PSS32924
Acc03224,Acc03224.1,d2359.a1.a1,PSS32928
Acc03231,Acc03231.1,d2327.a1.a1,PSS32935
Acc03232,Acc03232.1,d2908.a1.a1,PSS32936
Acc03236,Acc03236.1,c797.a2.a1,PSS32940
Acc03239,Acc03239.1,c180.a4.a1,PSS32943
Acc03242,Acc03242.1,d2193.a1.a1,PSS32946
Acc03246,Acc03246.1,d3047.a1.a1,PSS32950
Acc03251,Acc03251.1,d1659.a1.a1,PSS32955
Acc03252,Acc03252.1,c905.a2.a1,PSS32956
Acc03253,Acc03253.1,c905.a1.a1,PSS32957
Acc03257,Acc03257.1,c973.a1.a1,PSS32961
Acc03259,Acc03259.1,d1366.a2.a1,PSS32963
Acc03263,Acc03263.1,c582.a1.a1,PSS32967
Acc03265,Acc03265.1,d1892.a1.a1,PSS32969
Acc03269,Acc03269.1,c845.a2.a1,PSS32973
Acc03271,Acc03271.1,d2945.a1.a1,PSS32975
Acc03272,Acc03272.1,d1438.a1.a1,PSS32976
Acc03278,Acc03278.1,d2549.a1.a1,PSS32982
Acc03280,Acc03280.1,b46.a1.a1,PSS32984
Acc03291,Acc03291.1,d2844.a1.a1,PSS32995
Acc03297,Acc03297.1,d1065.a1.a1,PSS33001
Acc03298,Acc03298.1,c159.a5.a1,PSS33002
Acc03299,Acc03299.1,d1622.a1.a1,PSS33003
Acc03300,Acc03300.1,d1240.a2.a1,PSS33004
Acc03311,Acc03311.1,d1339.a2.a1,PSS28807
Acc03314,Acc03314.1,d1332.a1.a1,PSS28804
Acc03315,Acc03315.1,d2586.a1.a1,PSS28803
Acc03317,Acc03317.1,d3021.a1.a1,PSS28801
Acc03341,Acc03341.1,c250.a2.a1,PSS28777
Acc03342,Acc03342.1,c915.a5.a1,PSS28776
Acc03353,Acc03353.1,d1605.a1.a1,PSS28540
Acc03371,Acc03371.1,d3335.a1.a1,PSS28558
Acc03372,Acc03372.1,c170.a1.a1,PSS28559
Acc03373,Acc03373.1,d2795.a1.a1,PSS28560
Acc03407,Acc03407.1,d1720.a2.a1,PSS33023
Acc03408,Acc03408.1,d2693.a1.a1,PSS33024
Acc03418,Acc03418.1,b18.a3.a1,PSS33034
Acc03431,Acc03431.1,c618.a1.a1,PSS33047
Acc03434,Acc03434.1,d1554.a1.a1,PSS33050
Acc03450,Acc03450.1,d2147.a2.a1,PSS33065
Acc03455,Acc03455.1,b76.a2.a1,PSS33070
Acc03456,Acc03456.1,b76.a3.a1,PSS33071
Acc03459,Acc03459.1,d2106.a1.a1,PSS33074
Acc03460,Acc03460.1,b11.b14.a1,PSS33075
Acc03462,Acc03462.1,d2676.a1.a1,PSS33077
Acc03469,Acc03469.1,d1112.a1.a1,PSS33083
Acc03477,Acc03477.1,c817.a2.a1,PSS33091
Acc03490,Acc03490.1,d3419.a1.a1,PSS33104
Acc03500,Acc03500.1,d2251.a1.a1,PSS33114
Acc03515,Acc03515.1,d2056.a1.a1,PSS33129
Acc03516,Acc03516.1,c474.a2.a1,PSS33130
Acc03525,Acc03525.1,c239.a5.a1,PSS33139
Acc03536,Acc03536.1,d2155.a1.a1,PSS33150
Acc03540,Acc03540.1,b34.a3.a1,PSS33154
Acc03544,Acc03544.1,d3420.a1.a1,PSS33158
Acc03546,Acc03546.1,c734.a2.a1,PSS33160
Acc03551,Acc03551.1,b13.a4.a1,PSS33165
Acc03552,Acc03552.1,d1703.a2.a1,PSS33166
Acc03560,Acc03560.1,d1770.a3.a1,PSS33174
Acc03561,Acc03561.1,d1677.a1.a1,PSS33175
Acc03563,Acc03563.1,d1163.a2.a1,PSS33177
Acc03579,Acc03579.1,d3205.a1.a1,PSS33193
Acc03583,Acc03583.1,c142.a1.a1,PSS33197
Acc03596,Acc03596.1,d2737.a1.a1,PSS33210
Acc03606,Acc03606.1,c953.a1.a1,PSS33220
Acc03607,Acc03607.1,d1604.a2.a1,PSS33221
Acc03613,Acc03613.1,d1752.a3.a1,PSS33227
Acc03618,Acc03618.1,d1647.a1.a1,PSS33232
Acc03622,Acc03622.1,d2487.a1.a1,PSS33236
Acc03624,Acc03624.1,d2428.a1.a1,PSS33238
Acc03635,Acc03635.1,c824.a1.a1,PSS33249
Acc03638,Acc03638.1,d1105.a1.a1,PSS33252
Acc03647,Acc03647.1,d1642.a2.a1,PSS33260
Acc03654,Acc03654.1,d2476.a1.a1,PSS33267
Acc03655,Acc03655.1,d1041.a3.a1,PSS33268
Acc03670,Acc03670.1,c166.a1.a1,PSS33282
Acc03686,Acc03686.1,c115.a3.a1,PSS33298
Acc03689,Acc03689.1,d1449.a2.a1,PSS33301
Acc03691,Acc03691.1,d1304.a2.a1,PSS33303
Acc03700,Acc03700.1,a4.a3.a1,PSS33312
Acc03718,Acc03718.1,d2554.a1.a1,PSS33330
Acc03723,Acc03723.1,c206.a3.a1,PSS33335
Acc03724,Acc03724.1,d1531.a1.a1,PSS33336
Acc03725,Acc03725.1,c988.a1.a1,PSS33337
Acc03727,Acc03727.1,d2226.a2.a1,PSS33339
Acc03740,Acc03740.1,d2388.a1.a1,PSS33352
Acc03741,Acc03741.1,c351.a3.a1,PSS33353
Acc03748,Acc03748.1,d1526.a1.a1,PSS33360
Acc03750,Acc03750.1,a9.a6.a1,PSS33362
Acc03753,Acc03753.1,d1446.a1.a1,PSS33365
Acc03755,Acc03755.1,c670.a2.a1,PSS33367
Acc03758,Acc03758.1,d1243.a1.a1,PSS33370
Acc03772,Acc03772.1,d1253.a5.a1,PSS33384
Acc03777,Acc03777.1,c206.b11.a1,PSS33389
Acc03783,Acc03783.1,d1443.a1.a1,PSS33395
Acc03785,Acc03785.1,c207.a6.a1,PSS33397
Acc03786,Acc03786.1,d2829.a1.a1,PSS33398
Acc03788,Acc03788.1,d1937.a1.a1,PSS33400
Acc03795,Acc03795.1,c764.a2.a1,PSS33407
Acc03796,Acc03796.1,d1682.a1.a1,PSS33408
Acc03797,Acc03797.1,b35.a9.a1,PSS33409
Acc03798,Acc03798.1,c832.a1.a1,PSS33410
Acc03799,Acc03799.1,d1226.a2.a1,PSS33411
Acc03800,Acc03800.1,c175.a3.a1,PSS33412
Acc03802,Acc03802.1,c249.a2.a1,PSS33416
Acc03803,Acc03803.1,d1694.a2.a1,PSS33417
Acc03807,Acc03807.1,d2474.a1.a1,PSS33421
Acc03816,Acc03816.1,d3421.a1.a1,PSS33430
Acc03821,Acc03821.1,d3072.a1.a1,PSS33435
Acc03825,Acc03825.1,d1981.a2.a1,PSS33439
Acc03837,Acc03837.1,d2080.a1.a1,PSS33450
Acc03838,Acc03838.1,d1084.a2.a1,PSS33451
Acc03848,Acc03848.1,c566.a1.a1,PSS33461
Acc03851,Acc03851.1,d1168.a1.a1,PSS33464
Acc03858,Acc03858.1,d2202.a1.a1,PSS33471
Acc03860,Acc03860.1,c564.a1.a1,PSS33473
Acc03867,Acc03867.1,d1080.a3.a1,PSS33480
Acc03894,Acc03894.1,d1395.a1.a1,PSS33507
Acc03901,Acc03901.1,d1323.a1.a1,PSS33514
Acc03920,Acc03920.1,d2850.a1.a1,PSS33533
Acc03929,Acc03929.1,c202.a1.a1,PSS33542
Acc03932,Acc03932.1,d2758.a1.a1,PSS33545
Acc03934,Acc03934.1,d1273.a1.a1,PSS33547
Acc03935,Acc03935.1,c505.a2.a1,PSS33548
Acc03953,Acc03953.1,c202.a2.a1,PSS33552
Acc03956,Acc03956.1,b71.a2.a1,PSS33555
Acc03957,Acc03957.1,c505.a1.a1,PSS33556
Acc03958,Acc03958.1,d2158.a2.a1,PSS33557
Acc03963,Acc03963.1,d2959.a1.a1,PSS33562
Acc03971,Acc03971.1,d1484.a1.a1,PSS33570
Acc03975,Acc03975.1,c924.a2.a1,PSS33574
Acc03982,Acc03982.1,d1780.a2.a1,PSS33581
Acc03983,Acc03983.1,d1690.a1.a1,PSS33582
Acc03984,Acc03984.1,c663.a2.a1,PSS33583
Acc03996,Acc03996.1,d1345.a1.a1,PSS33595
Acc04001,Acc04001.1,c967.a2.a1,PSS33600
Acc04004,Acc04004.1,c541.a3.a1,PSS33603
Acc04006,Acc04006.1,c173.a4.a1,PSS33605
Acc04008,Acc04008.1,c120.a3.a1,PSS33607
Acc04021,Acc04021.1,d3341.a1.a1,PSS33621
Acc04023,Acc04023.1,d3136.a2.a1,PSS33623
Acc04039,Acc04039.1,d1539.a1.a1,PSS33639
Acc04042,Acc04042.1,d3179.a1.a1,PSS33642
Acc04046,Acc04046.1,d2903.a1.a1,PSS33646
Acc04050,Acc04050.1,c569.a1.a1,PSS33650
Acc04052,Acc04052.1,d1387.a1.a1,PSS33652
Acc04056,Acc04056.1,d1672.a1.a1,PSS33656
Acc04063,Acc04063.1,c372.a1.a1,PSS33663
Acc04067,Acc04067.1,d1951.a2.a1,PSS33667
Acc04071,Acc04071.1,c847.a2.a1,PSS33671
Acc04074,Acc04074.1,d1695.a1.a1,PSS33674
Acc04080,Acc04080.1,d1057.a1.a1,PSS33680
Acc04083,Acc04083.1,d1031.a2.a1,PSS33683
Acc04097,Acc04097.1,c519.a5.a1,PSS33697
Acc04104,Acc04104.1,d1776.a2.a1,PSS33704
Acc04105,Acc04105.1,c319.a1.a1,PSS33705
Acc04106,Acc04106.1,d2519.a1.a1,PSS33706
Acc04113,Acc04113.1,b15.a1.a1,PSS33713
Acc04120,Acc04120.1,d2652.a1.a1,PSS33720
Acc04127,Acc04127.1,c892.a1.a1,PSS33727
Acc04134,Acc04134.1,d3422.a1.a1,PSS33734
Acc04148,Acc04148.1,c687.a2.a1,PSS33748
Acc04159,Acc04159.1,d1324.a1.a1,PSS33759
Acc04160,Acc04160.1,d3180.a1.a1,PSS33760
Acc04163,Acc04163.1,c153.a1.a1,PSS33763
Acc04169,Acc04169.1,d2439.a1.a1,PSS33769
Acc04182,Acc04182.1,d2738.a1.a1,PSS33782
Acc04185,Acc04185.1,d3024.a1.a1,PSS33785
Acc04203,Acc04203.1,d2133.a1.a1,PSS33804
Acc04219,Acc04219.1,c116.a1.a1,PSS33820
Acc04221,Acc04221.1,d2602.a1.a1,PSS33822
Acc04223,Acc04223.1,c106.a2.a1,PSS33824
Acc04233,Acc04233.1,c684.a1.a1,PSS33834
Acc04238,Acc04238.1,c995.a1.a1,PSS33839
Acc04245,Acc04245.1,c241.a1.a1,PSS33846
Acc04255,Acc04255.1,d2677.a1.a1,PSS33856
Acc04262,Acc04262.1,d3181.a1.a1,PSS33863
Acc04264,Acc04264.1,d2477.a2.a1,PSS33865
Acc04266,Acc04266.1,d1462.a2.a1,PSS33867
Acc04270,Acc04270.1,c439.a1.a1,PSS33871
Acc04272,Acc04272.1,c777.a1.a1,PSS33873
Acc04283,Acc04283.1,c804.a2.a1,PSS33884
Acc04294,Acc04294.1,c816.a1.a1,PSS33895
Acc04301,Acc04301.1,d1737.a1.a1,PSS33902
Acc04303,Acc04303.1,d1432.a1.a1,PSS33904
Acc04306,Acc04306.1,d2041.a1.a1,PSS33907
Acc04318,Acc04318.1,d2159.a3.a1,PSS33919
Acc04336,Acc04336.1,c521.a5.a1,PSS33937
Acc04355,Acc04355.1,d2021.a2.a1,PSS33955
Acc04361,Acc04361.1,d3162.a1.a1,PSS33961
Acc04363,Acc04363.1,c627.a1.a1,PSS33963
Acc04364,Acc04364.1,c558.a2.a1,PSS33964
Acc04371,Acc04371.1,d2193.a3.a1,PSS18265
Acc04375,Acc04375.1,d1835.a1.a1,PSS18261
Acc04378,Acc04378.1,d2596.a1.a1,PSS18258
Acc04381,Acc04381.1,d1320.a1.a1,PSS18255
Acc04388,Acc04388.1,d1700.a3.a1,PSS18248
Acc04391,Acc04391.1,c355.a2.a1,PSS18245
Acc04408,Acc04408.1,d2109.a2.a1,PSS18228
Acc04409,Acc04409.1,d3041.a1.a1,PSS18227
Acc04425,Acc04425.1,d2497.a1.a1,PSS18211
Acc04426,Acc04426.1,c724.a1.a1,PSS18210
Acc04431,Acc04431.1,d1940.a1.a1,PSS31135
Acc04434,Acc04434.1,d2568.a1.a1,PSS31138
Acc04441,Acc04441.1,b77.a1.a1,PSS31145
Acc04443,Acc04443.1,c165.a1.a1,PSS31147
Acc04446,Acc04446.1,d2286.a1.a1,PSS31150
Acc04454,Acc04454.1,c605.a2.a1,PSS31158
Acc04464,Acc04464.1,c361.a1.a1,PSS31168
Acc04469,Acc04469.1,c568.a3.a1,PSS31173
Acc04487,Acc04487.1,d2826.a1.a1,PSS31191
Acc04492,Acc04492.1,d2172.a1.a1,PSS31196
Acc04493,Acc04493.1,b52.a1.a1,PSS31197
Acc04498,Acc04498.1,d2615.a1.a1,PSS31202
Acc04500,Acc04500.1,c318.a1.a1,PSS31204
Acc04503,Acc04503.1,c415.a1.a1,PSS31207
Acc04504,Acc04504.1,d1235.a1.a1,PSS31208
Acc04506,Acc04506.1,c283.a2.a1,PSS31210
Acc04507,Acc04507.1,d2208.a1.a1,PSS31211
Acc04518,Acc04518.1,d2427.a1.a1,PSS31222
Acc04532,Acc04532.1,d3104.a1.a1,PSS31236
Acc04536,Acc04536.1,c362.a3.a1,PSS31240
Acc04542,Acc04542.1,b18.a5.a1,PSS31246
Acc04548,Acc04548.1,d1550.a1.a1,PSS31252
Acc04560,Acc04560.1,d2692.a1.a1,PSS31264
Acc04563,Acc04563.1,c848.a3.a1,PSS31267
Acc04568,Acc04568.1,d2827.a1.a1,PSS31272
Acc04579,Acc04579.1,d3266.a1.a1,PSS31283
Acc04586,Acc04586.1,c710.a1.a1,PSS31290
Acc04593,Acc04593.1,c325.a3.a1,PSS31297
Acc04594,Acc04594.1,d1032.a2.a1,PSS31298
Acc04601,Acc04601.1,d1761.a1.a1,PSS31305
Acc04603,Acc04603.1,d1008.a2.a1,PSS31307
Acc04618,Acc04618.1,c212.a5.a1,PSS31322
Acc04622,Acc04622.1,c989.a1.a1,PSS31326
Acc04624,Acc04624.1,c242.a2.a1,PSS31328
Acc04641,Acc04641.1,d3418.a1.a1,PSS31345
Acc04643,Acc04643.1,c303.a1.a1,PSS31347
Acc04644,Acc04644.1,d2828.a1.a1,PSS31348
Acc04648,Acc04648.1,d1551.a1.a1,PSS31352
Acc04649,Acc04649.1,c856.a2.a1,PSS31353
Acc04664,Acc04664.1,d2287.a1.a1,PSS31368
Acc04668,Acc04668.1,c617.a2.a1,PSS31372
Acc04670,Acc04670.1,c277.a3.a1,PSS31374
Acc04705,Acc04705.1,c895.a1.a1,PSS31409
Acc04719,Acc04719.1,d2234.a1.a1,PSS31422
Acc04724,Acc04724.1,d2944.a1.a1,PSS31427
Acc04734,Acc04734.1,d2848.a1.a1,PSS31437
Acc04740,Acc04740.1,c157.a4.a1,PSS31443
Acc04750,Acc04750.1,a1.a4.a1,PSS31453
Acc04770,Acc04770.1,c408.a1.a1,PSS31473
Acc04772,Acc04772.1,d1178.a1.a1,PSS31475
Acc04778,Acc04778.1,c754.a1.a1,PSS31481
Acc04783,Acc04783.1,c644.a6.a1,PSS31486
Acc04823,Acc04823.1,d1029.a1.a1,PSS31526
Acc04831,Acc04831.1,d1765.a1.a1,PSS31534
Acc04850,Acc04850.1,d1666.a1.a1,PSS31577
Acc04851,Acc04851.1,c862.a3.a1,PSS31578
Acc04863,Acc04863.1,b37.a1.a1,PSS31588
Acc04867,Acc04867.1,c217.a2.a1,PSS31592
Acc04870,Acc04870.1,c120.b16.a1,PSS31595
Acc04877,Acc04877.1,d1004.a1.a1,PSS31602
Acc04878,Acc04878.1,d1074.a2.a1,PSS31603
Acc04879,Acc04879.1,c403.a1.a1,PSS31604
Acc04885,Acc04885.1,d2001.a1.a1,PSS31610
Acc04888,Acc04888.1,d2622.a1.a1,PSS31613
Acc04890,Acc04890.1,d2710.a1.a1,PSS31615
Acc04897,Acc04897.1,c120.a2.a1,PSS31622
Acc04898,Acc04898.1,c110.a4.a1,PSS31623
Acc04900,Acc04900.1,d1974.a1.a1,PSS31625
Acc04903,Acc04903.1,d1830.a1.a1,PSS31628
Acc04907,Acc04907.1,c120.b18.a1,PSS31632
Acc04909,Acc04909.1,d1767.a3.a1,PSS31634
Acc04918,Acc04918.1,d1312.a1.a1,PSS31643
Acc04925,Acc04925.1,d1397.a1.a1,PSS31650
Acc04937,Acc04937.1,c749.a2.a1,PSS31662
Acc04940,Acc04940.1,d2675.a1.a1,PSS31671
Acc04946,Acc04946.1,d2574.a1.a1,PSS31677
Acc04953,Acc04953.1,c482.b33.a1,PSS31685
Acc04955,Acc04955.1,d2037.a2.a1,PSS31687
Acc04967,Acc04967.1,c633.a1.a1,PSS31699
Acc04971,Acc04971.1,d1416.a2.a1,PSS31703
Acc04974,Acc04974.1,c240.a2.a1,PSS31705
Acc04977,Acc04977.1,b19.a1.a1,PSS31708
Acc04984,Acc04984.1,d2301.a1.a1,PSS31715
Acc04985,Acc04985.1,d1330.a1.a1,PSS31716
Acc04987,Acc04987.1,d1039.a2.a1,PSS31718
Acc04989,Acc04989.1,d1134.a1.a1,PSS31720
Acc05011,Acc05011.1,c414.a3.a1,PSS31741
Acc05013,Acc05013.1,c811.a2.a1,PSS31743
Acc05021,Acc05021.1,c889.a1.a1,PSS31751
Acc05023,Acc05023.1,d2132.a1.a1,PSS31753
Acc05024,Acc05024.1,d2886.a2.a1,PSS31754
Acc05038,Acc05038.1,c600.a1.a1,PSS31875
Acc05055,Acc05055.1,c741.a1.a1,PSS31892
Acc05061,Acc05061.1,c434.a1.a1,PSS31898
Acc05068,Acc05068.1,d2315.a1.a1,PSS31834
Acc05076,Acc05076.1,b92.a1.a1,PSS31807
Acc05092,Acc05092.1,d3338.a1.a1,PSS31791
Acc05095,Acc05095.1,d2460.a1.a1,PSS31788
Acc05106,Acc05106.1,d1780.a3.a1,PSS31777
Acc05133,Acc05133.1,c286.a5.a1,PSS31865
Acc05136,Acc05136.1,c209.a2.a1,PSS31764
Acc05138,Acc05138.1,c365.a1.a1,PSS31766
Acc05139,Acc05139.1,c761.a2.a1,PSS31767
Acc05145,Acc05145.1,d3203.a1.a1,PSS31859
Acc05149,Acc05149.1,d2498.a1.a1,PSS31849
Acc05169,Acc05169.1,d1757.a1.a1,PSS31825
Acc05177,Acc05177.1,c770.a4.a1,PSS31817
Acc05181,Acc05181.1,c634.a2.a1,PSS31813
Acc05183,Acc05183.1,d2968.a1.a1,PSS29900
Acc05184,Acc05184.1,d1823.a1.a1,PSS29901
Acc05191,Acc05191.1,c796.a2.a1,PSS29908
Acc05196,Acc05196.1,c508.a1.a1,PSS29914
Acc05202,Acc05202.1,c460.a2.a1,PSS29920
Acc05209,Acc05209.1,d1809.a1.a1,PSS29927
Acc05217,Acc05217.2,c691.a2.a1,PSS29935
Acc05218,Acc05218.1,d3022.a1.a1,PSS29936
Acc05229,Acc05229.1,c533.a1.a1,PSS29986
Acc05231,Acc05231.1,c362.a1.a1,PSS29988
Acc05234,Acc05234.1,d1219.a5.a1,PSS29991
Acc05238,Acc05238.1,d1948.a1.a1,PSS29995
Acc05263,Acc05263.1,b37.a3.a1,PSS29949
Acc05268,Acc05268.1,c353.a2.a1,PSS29954
Acc05270,Acc05270.1,d1556.a1.a1,PSS29956
Acc05272,Acc05272.1,c162.a2.a1,PSS29958
Acc05277,Acc05277.1,d2943.a1.a1,PSS29963
Acc05291,Acc05291.1,d2057.a2.a1,PSS29976
Acc05292,Acc05292.1,d1289.a1.a1,PSS29977
Acc05296,Acc05296.1,d2983.a1.a1,PSS30122
Acc05306,Acc05306.1,c723.a2.a1,PSS30113
Acc05325,Acc05325.1,c530.a2.a1,PSS30094
Acc05330,Acc05330.1,d1251.a3.a1,PSS30089
Acc05339,Acc05339.1,b54.a2.a1,PSS30081
Acc05341,Acc05341.1,c151.a4.a1,PSS30079
Acc05343,Acc05343.1,b69.a1.a1,PSS30077
Acc05345,Acc05345.1,c815.a1.a1,PSS30075
Acc05365,Acc05365.1,b44.a2.a1,PSS30055
Acc05371,Acc05371.1,d1231.a3.a1,PSS30049
Acc05376,Acc05376.1,d1030.a2.a1,PSS30044
Acc05378,Acc05378.1,d1308.a1.a1,PSS30042
Acc05381,Acc05381.1,d2426.a1.a1,PSS30039
Acc05383,Acc05383.1,c220.a2.a1,PSS30037
Acc05398,Acc05398.1,c979.a1.a1,PSS30023
Acc05405,Acc05405.1,c120.b22.a1,PSS30016
Acc05406,Acc05406.1,c354.a6.a1,PSS30015
Acc05415,Acc05415.1,d2268.a1.a1,PSS30130
Acc05422,Acc05422.1,c803.a1.a1,PSS30137
Acc05423,Acc05423.1,d2070.a1.a1,PSS30138
Acc05424,Acc05424.1,c482.b19.a1,PSS30139
Acc05432,Acc05432.1,d1583.a2.a1,PSS30148
Acc05446,Acc05446.1,d2635.a1.a1,PSS30208
Acc05451,Acc05451.1,d3201.a1.a1,PSS30213
Acc05454,Acc05454.1,c340.a1.a1,PSS30216
Acc05456,Acc05456.1,c426.a2.a1,PSS30218
Acc05465,Acc05465.1,b92.a6.a1,PSS30226
Acc05500,Acc05500.1,c528.a2.a1,PSS30262
Acc05503,Acc05503.1,c513.a1.a1,PSS30265
Acc05513,Acc05513.1,c681.a2.a1,PSS30273
Acc05515,Acc05515.1,c876.a1.a1,PSS30275
Acc05517,Acc05517.1,c598.a1.a1,PSS30277
Acc05528,Acc05528.1,d1026.a1.a1,PSS30288
Acc05537,Acc05537.1,c509.a1.a1,PSS30298
Acc05550,Acc05550.1,d2756.a1.a1,PSS30311
Acc05564,Acc05564.1,c687.a1.a1,PSS30325
Acc05569,Acc05569.1,d2033.a2.a1,PSS30330
Acc05576,Acc05576.1,c604.a1.a1,PSS30337
Acc05581,Acc05581.1,d2786.a2.a1,PSS30342
Acc05586,Acc05586.1,d1693.a1.a1,PSS30151
Acc05587,Acc05587.1,c841.a2.a1,PSS30152
Acc05588,Acc05588.1,d3161.a1.a1,PSS30153
Acc05599,Acc05599.1,c829.a1.a1,PSS30164
Acc05600,Acc05600.1,b17.a5.a1,PSS30165
Acc05601,Acc05601.1,d1644.a2.a1,PSS30166
Acc05603,Acc05603.1,c117.a1.a1,PSS30168
Acc05605,Acc05605.1,d2161.a2.a1,PSS30170
Acc05612,Acc05612.1,d1229.a2.a1,PSS30177
Acc05615,Acc05615.1,c591.a2.a1,PSS30180
Acc05636,Acc05636.1,d1474.a1.a1,PSS30409
Acc05646,Acc05646.1,d1017.a1.a1,PSS30356
Acc05648,Acc05648.1,d1429.a1.a1,PSS30358
Acc05651,Acc05651.1,c105.a1.a1,PSS30361
Acc05654,Acc05654.1,d2709.a1.a1,PSS30364
Acc05661,Acc05661.1,c799.a2.a1,PSS30371
Acc05664,Acc05664.1,c696.b12.a1,PSS30374
Acc05692,Acc05692.1,d3071.a1.a1,PSS30402
Acc05695,Acc05695.1,d1447.a2.a1,PSS30410
Acc05701,Acc05701.1,c244.a3.a1,PSS30416
Acc05702,Acc05702.1,c958.a2.a1,PSS30417
Acc05703,Acc05703.1,c892.a5.a1,PSS30418
Acc05723,Acc05723.1,d2898.a1.a1,PSS30437
Acc05725,Acc05725.1,d2587.a1.a1,PSS30439
Acc05729,Acc05729.1,c519.a3.a1,PSS30443
Acc05741,Acc05741.1,d3023.a1.a1,PSS30455
Acc05748,Acc05748.1,d1424.a1.a1,PSS30462
Acc05759,Acc05759.1,d3417.a1.a1,PSS30473
Acc05764,Acc05764.1,d1951.a1.a1,PSS30478
Acc05768,Acc05768.1,d2529.a1.a1,PSS30482
Acc05779,Acc05779.1,b32.a6.a1,PSS30493
Acc05785,Acc05785.1,a6.a2.a1,PSS30499
Acc05786,Acc05786.1,c107.a1.a1,PSS30500
Acc05788,Acc05788.1,d1889.a4.a1,PSS30502
Acc05789,Acc05789.1,c246.a2.a1,PSS30503
Acc05799,Acc05799.1,d2868.a1.a1,PSS30513
Acc05803,Acc05803.1,d1651.a2.a1,PSS30517
Acc05808,Acc05808.1,c545.a4.a1,PSS30522
Acc05820,Acc05820.1,b89.a6.a1,PSS30534
Acc05842,Acc05842.1,d1166.a2.a1,PSS30556
Acc05858,Acc05858.1,d1384.a1.a1,PSS30572
Acc05865,Acc05865.1,c173.a2.a1,PSS30579
Acc05871,Acc05871.1,c483.a1.a1,PSS30585
Acc05895,Acc05895.1,d1780.a1.a1,PSS30609
Acc05899,Acc05899.1,d1629.a2.a1,PSS30613
Acc05914,Acc05914.1,b67.a2.a1,PSS30628
Acc05939,Acc05939.1,c138.a6.a1,PSS30654
Acc05945,Acc05945.1,c719.a1.a1,PSS30660
Acc05950,Acc05950.1,d1116.a1.a1,PSS30665
Acc05951,Acc05951.1,d2567.a1.a1,PSS30666
Acc05952,Acc05952.1,d1403.a3.a1,PSS30667
Acc05953,Acc05953.1,d1403.a1.a1,PSS30668
Acc05973,Acc05973.1,d3202.a1.a1,PSS30688
Acc05975,Acc05975.1,d1231.a2.a1,PSS30690
Acc05980,Acc05980.1,c519.a4.a1,PSS30695
Acc05983,Acc05983.1,d1178.a3.a1,PSS30698
Acc05984,Acc05984.1,c656.a1.a1,PSS30699
Acc05999,Acc05999.1,d2338.a1.a1,PSS30714
Acc06003,Acc06003.1,d1490.a1.a1,PSS30718
